date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:57	42489/42489	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:51%20GMT	https://www.alomariya.org/category/%d8%b9%d8%a8%d8%b1-%d9%85%d9%86-%d8%a7%d9%84%d8%b3%d9%80%d9%80%d9%8a%d8%b1/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%b9%d8%a8%d8%b1-%d9%85%d9%86-%d8%a7%d9%84%d8%b3%d9%80%d9%80%d9%8a%d8%b1/index.html	(from https://www.alomariya.org/)
12:08:58	126237/126237	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Apr%202025%2009:54:42%20GMT	https://www.alomariya.org/wp-content/uploads/2025/04/3%d8%a7%d9%84%d8%ad%d9%83%d9%85%d8%a9-%d8%a7%d9%84%d8%ac%d8%af%d9%8a%d8%af-1.jpg	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2025/04/3%d8%a7%d9%84%d8%ad%d9%83%d9%85%d8%a9-%d8%a7%d9%84%d8%ac%d8%af%d9%8a%d8%af-1.jpg	(from https://www.alomariya.org/)
12:08:59	50976/50976	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:53%20GMT	https://www.alomariya.org/category/%d8%a5%d8%b6%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d8%a7%d8%a1%d8%a7%d8%aa/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%a5%d8%b6%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d8%a7%d8%a1%d8%a7%d8%aa/index.html	(from https://www.alomariya.org/)
12:08:59	57795/57795	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:53%20GMT	https://www.alomariya.org/category/%d9%81%d9%82%d9%80%d9%80%d9%80%d9%87-%d8%a7%d9%84%d9%81%d8%aa%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%86/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d9%81%d9%82%d9%80%d9%80%d9%80%d9%87-%d8%a7%d9%84%d9%81%d8%aa%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%86/index.html	(from https://www.alomariya.org/)
12:08:59	45262/45262	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:53%20GMT	https://www.alomariya.org/category/%d8%b1%d8%b3%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d8%a7%d8%a6%d9%84/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%b1%d8%b3%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d8%a7%d8%a6%d9%84/index.html	(from https://www.alomariya.org/)
12:09:00	135046/135046	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jun%202017%2004:27:34%20GMT	https://www.alomariya.org/wp-content/themes/alomariya/assets/images/maani1.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/themes/alomariya/assets/images/maani1.png	(from https://www.alomariya.org/)
12:09:00	53021/53021	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:53%20GMT	https://www.alomariya.org/category/%d8%a3%d9%88%d8%b1%d8%a7%d9%82-%d8%aa%d8%b1%d8%a8%d9%80%d9%88%d9%8a%d8%a9/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%a3%d9%88%d8%b1%d8%a7%d9%82-%d8%aa%d8%b1%d8%a8%d9%80%d9%88%d9%8a%d8%a9/index.html	(from https://www.alomariya.org/)
12:09:00	44041/44041	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:55%20GMT	https://www.alomariya.org/category/%d9%85%d8%b5%d8%b7%d9%84%d8%ad%d9%80%d9%80%d9%80%d9%80%d9%80%d8%a7%d8%aa/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d9%85%d8%b5%d8%b7%d9%84%d8%ad%d9%80%d9%80%d9%80%d9%80%d9%80%d8%a7%d8%aa/index.html	(from https://www.alomariya.org/)
12:09:00	57234/57234	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:55%20GMT	https://www.alomariya.org/category/%d8%b4%d9%80%d9%80%d8%a4%d9%88%d9%86-%d9%85%d8%ba%d8%b1%d8%a8%d9%8a%d8%a9/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%b4%d9%80%d9%80%d8%a4%d9%88%d9%86-%d9%85%d8%ba%d8%b1%d8%a8%d9%8a%d8%a9/index.html	(from https://www.alomariya.org/)
12:09:01	39582/39582	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jul%202019%2001:32:10%20GMT	https://www.alomariya.org/wp-content/themes/alomariya/assets/images/wird_al_amm.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/themes/alomariya/assets/images/wird_al_amm.png	(from https://www.alomariya.org/)
12:09:03	47398/47398	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:57%20GMT	https://www.alomariya.org/category/%d8%b4%d9%80%d9%80%d8%a4%d9%88%d9%86-%d8%b9%d8%a7%d9%84%d9%85%d9%8a%d8%a9/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%b4%d9%80%d9%80%d8%a4%d9%88%d9%86-%d8%b9%d8%a7%d9%84%d9%85%d9%8a%d8%a9/index.html	(from https://www.alomariya.org/)
12:09:03	50340/50340	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:57%20GMT	https://www.alomariya.org/category/%d8%a3%d8%ad%d9%80%d9%80%d9%80%d8%af%d8%a7%d8%ab-%d9%88%d8%a2%d8%b1%d8%a7%d8%a1/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%a3%d8%ad%d9%80%d9%80%d9%80%d8%af%d8%a7%d8%ab-%d9%88%d8%a2%d8%b1%d8%a7%d8%a1/index.html	(from https://www.alomariya.org/)
12:09:03	48835/48835	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:57%20GMT	https://www.alomariya.org/category/%d8%b4%d9%80%d9%80%d8%a4%d9%88%d9%86-%d8%b9%d8%b1%d8%a8%d9%8a%d8%a9/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%b4%d9%80%d9%80%d8%a4%d9%88%d9%86-%d8%b9%d8%b1%d8%a8%d9%8a%d8%a9/index.html	(from https://www.alomariya.org/)
12:09:03	55582/55582	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:57%20GMT	https://www.alomariya.org/category/%d9%85%d9%86%d8%b4%d9%88%d8%b1%d8%a7%d8%aa-%d8%b5%d8%ad%d8%a7%d9%81%d9%8a%d8%a9/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d9%85%d9%86%d8%b4%d9%88%d8%b1%d8%a7%d8%aa-%d8%b5%d8%ad%d8%a7%d9%81%d9%8a%d8%a9/index.html	(from https://www.alomariya.org/)
12:09:03	57115/57115	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2017:03:20%20GMT	https://www.alomariya.org/wp-content/uploads/2024/12/moalafat.png	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2024/12/moalafat.png	(from https://www.alomariya.org/)
12:09:05	43346/43346	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:59%20GMT	https://www.alomariya.org/category/%d9%83%d8%aa%d9%80%d8%a7%d8%a8%d8%a7%d8%aa-%d8%b3%d8%a7%d8%ae%d8%b1%d8%a9/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d9%83%d8%aa%d9%80%d8%a7%d8%a8%d8%a7%d8%aa-%d8%b3%d8%a7%d8%ae%d8%b1%d8%a9/index.html	(from https://www.alomariya.org/)
12:09:05	45634/45634	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:59%20GMT	https://www.alomariya.org/%d8%ac%d8%af%d9%8a%d8%af-%d8%a7%d9%84%d9%83%d8%aa%d8%a8/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/%d8%ac%d8%af%d9%8a%d8%af-%d8%a7%d9%84%d9%83%d8%aa%d8%a8/index.html	(from https://www.alomariya.org/)
12:09:05	61267/61267	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:59%20GMT	https://www.alomariya.org/category/%d8%a2%d8%ae%d9%80%d8%b1-%d8%a7%d9%84%d9%83%d8%aa%d9%80%d8%a7%d8%a8%d9%80%d8%a7%d8%aa/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%a2%d8%ae%d9%80%d8%b1-%d8%a7%d9%84%d9%83%d8%aa%d9%80%d8%a7%d8%a8%d9%80%d8%a7%d8%aa/index.html	(from https://www.alomariya.org/)
12:09:05	42550/42550	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:09:59%20GMT	https://www.alomariya.org/category/%d8%ad%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%88%d8%a7%d8%b1%d8%a7%d8%aa/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d8%ad%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%88%d8%a7%d8%b1%d8%a7%d8%aa/index.html	(from https://www.alomariya.org/)
12:09:05	27014/27014	---M--	200	added ('OK')	image/webp	date:Tue,%2015%20Apr%202025%2012:47:32%20GMT	https://www.alomariya.org/wp-content/uploads/2025/04/WhatsApp-Image-2025-04-15-at-12.37.37_c74e0c19.webp	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/wp-content/uploads/2025/04/WhatsApp-Image-2025-04-15-at-12.37.37_c74e0c19.webp	(from https://www.alomariya.org/)
12:09:07	44948/44948	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:10:01%20GMT	https://www.alomariya.org/category/%d9%85%d9%80%d9%80%d9%88%d8%b3%d9%80%d9%8a%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%82%d9%80%d9%89/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d9%85%d9%80%d9%80%d9%88%d8%b3%d9%80%d9%8a%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%82%d9%80%d9%89/index.html	(from https://www.alomariya.org/)
12:09:07	44840/44840	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2009:10:01%20GMT	https://www.alomariya.org/category/%d9%81%d9%80%d9%80%d9%8a%d9%80%d9%80%d9%80%d8%b2%d9%8a%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d8%a7%d8%a1/	/data/data/com.termux/files/home/storage/shared/alomariya/www.alomariya.org/category/%d9%81%d9%80%d9%80%d9%8a%d9%80%d9%80%d9%80%d8%b2%d9%8a%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d9%80%d8%a7%d8%a1/index.html	(from https://www.alomariya.org/)
